genre,movie_id
Comedy,211672
Family,211672
Animation,211672
Adventure,211672
Comedy,211672
Adventure,36557
Action,36557
Thriller,36557
Adventure,18
Fantasy,18
Action,18
Thriller,18
Science Fiction,18
Drama,12405
Romance,12405
Animation,62211
Family,62211
Thriller,51876
Mystery,51876
Science Fiction,51876
Action,206647
Adventure,206647
Thriller,206647
Drama,84892
Adventure,8844
Fantasy,8844
Family,8844
Science Fiction,76600
Adventure,76600
Action,76600
Thriller,1359
Drama,1359
Crime,1359
Adventure,2080
Action,2080
Thriller,2080
Science Fiction,2080
Adventure,2080
Action,2080
Thriller,2080
Science Fiction,2080
Comedy,45243
Adventure,58574
Action,58574
Crime,58574
Mystery,58574
Action,337339
Crime,337339
Thriller,337339
Action,293167
Adventure,293167
Fantasy,293167
Action,293167
Adventure,293167
Fantasy,293167
Adventure,196
Comedy,196
Science Fiction,196
Action,41154
Comedy,41154
Science Fiction,41154
Science Fiction,294254
Action,294254
Thriller,294254
Adventure,294254
Drama,600
War,600
Action,64688
Comedy,64688
Crime,64688
Action,59967
Thriller,59967
Science Fiction,59967
Drama,629
Crime,629
Thriller,629
Crime,1949
Drama,1949
Mystery,1949
Thriller,1949
Horror,578
Thriller,578
Adventure,578
Action,1593
Adventure,1593
Comedy,1593
Family,1593
Fantasy,1593
Drama,453
Romance,453
Romance,854
Comedy,854
Crime,854
Fantasy,854
Adventure,652
History,652
War,652
Action,652
Comedy,19913
Drama,19913
Romance,19913
Action,197
Drama,197
History,197
War,197
Science Fiction,13475
Action,13475
Adventure,13475
Adventure,89
Action,89
Horror,539
Drama,539
Thriller,539
Action,9799
Crime,9799
Thriller,9799
Crime,641
Drama,641
Drama,1402
Adventure,605
Action,605
Thriller,605
Science Fiction,605
Animation,950
Family,950
Comedy,950
Adventure,950
Adventure,5915
Drama,5915
Drama,627
Crime,627
Adventure,36668
Action,36668
Science Fiction,36668
Thriller,36668
Action,76170
Science Fiction,76170
Adventure,76170
Fantasy,76170
Action,76170
Science Fiction,76170
Adventure,76170
Fantasy,76170
Drama,381284
History,381284
Fantasy,8960
Action,8960
Fantasy,82702
Action,82702
Adventure,82702
Animation,82702
Comedy,82702
Family,82702
Animation,10674
Family,10674
Adventure,10674
Action,110415
Science Fiction,110415
Drama,110415
Action,602
Adventure,602
Science Fiction,602
Drama,70
Action,9738
Adventure,9738
Fantasy,9738
Science Fiction,9738
Action,679
Thriller,679
Science Fiction,679
Science Fiction,17654
Drama,264644
Thriller,264644
Comedy,772
Family,772
Adventure,772
Thriller,591
Mystery,591
Action,2501
Drama,2501
Mystery,2501
Thriller,2501
Adventure,18239
Fantasy,18239
Drama,18239
Romance,18239
Thriller,9741
Drama,9741
Mystery,9741
Action,54138
Adventure,54138
Science Fiction,54138
Action,47971
Adventure,47971
Crime,47971
Adventure,87
Action,87
Action,13183
Mystery,13183
Science Fiction,13183
Action,124905
Drama,124905
Science Fiction,124905
Action,124905
Drama,124905
Science Fiction,124905
Drama,423
War,423
Adventure,564
Action,564
Fantasy,564
Adventure,564
Action,564
Fantasy,564
Horror,176
Mystery,176
Crime,176
Comedy,318846
Drama,318846
Fantasy,810
Adventure,810
Animation,810
Comedy,810
Family,810
Crime,107
Comedy,107
Adventure,24021
Fantasy,24021
Drama,24021
Romance,24021
Science Fiction,68724
Action,68724
Drama,68724
Thriller,68724
Romance,3933
Fantasy,3933
Animation,3933
Thriller,156022
Action,156022
Crime,156022
Comedy,620
Fantasy,620
Adventure,954
Action,954
Thriller,954
Animation,76492
Comedy,76492
Family,76492
Fantasy,76492
Action,254128
Drama,254128
Thriller,254128
Drama,281338
Science Fiction,281338
War,281338
Action,180
Thriller,180
Science Fiction,180
Mystery,180
Drama,152532
History,152532
Science Fiction,8373
Action,8373
Adventure,8373
Comedy,10625
Science Fiction,158015
Horror,158015
Thriller,158015
Action,273481
Crime,273481
Thriller,273481
Science Fiction,126889
Horror,126889
Mystery,126889
Drama,122906
Romance,122906
Fantasy,122906
Drama,314365
History,314365
Horror,747
Comedy,747
Western,429
Drama,68734
Thriller,68734
Adventure,330
Action,330
Science Fiction,330
Action,38356
Science Fiction,38356
Adventure,38356
Adventure,74
Thriller,74
Science Fiction,74
Romance,744
Drama,744
Action,744
Thriller,45612
Science Fiction,45612
Mystery,45612
Animation,8355
Comedy,8355
Family,8355
Adventure,8355
Family,278927
Adventure,278927
Drama,278927
Fantasy,278927
Adventure,328111
Comedy,328111
Animation,328111
Family,328111
Drama,389
Adventure,217
Action,217
Action,51497
Thriller,51497
Crime,51497
Science Fiction,315837
Drama,315837
Action,315837
Science Fiction,91314
Action,91314
Adventure,91314
Action,39254
Science Fiction,39254
Drama,39254
Comedy,339846
Action,339846
Crime,339846
Thriller,187
Action,187
Crime,187
Drama,50014
Adventure,58595
Fantasy,58595
Drama,58595
Drama,28
War,28
Crime,187017
Comedy,187017
Action,187017
Animation,335797
Comedy,335797
Family,335797
Music,335797
Crime,198184
Action,198184
Science Fiction,198184
Action,435
Adventure,435
Science Fiction,435
Thriller,435
Animation,35
Comedy,35
Family,35
Romance,50544
Comedy,50544
Drama,4348
Romance,4348
Comedy,4951
Romance,4951
Drama,4951
Adventure,1979
Fantasy,1979
Action,1979
Thriller,1979
Thriller,333371
Science Fiction,333371
Drama,333371
Horror,333371
Comedy,114
Romance,114
Romance,256591
Comedy,256591
Crime,256591
Action,95
Thriller,95
Science Fiction,95
Adventure,95
Adventure,10764
Action,10764
Thriller,10764
Crime,10764
Animation,10144
Family,10144
Fantasy,10144
Adventure,254
Drama,254
Action,254
Horror,22970
Fantasy,22970
Crime,275
Drama,275
Thriller,275
Science Fiction,106
Action,106
Adventure,106
Thriller,106
Drama,341174
Romance,341174
Romance,137
Fantasy,137
Drama,137
Comedy,137
Horror,9552
Comedy,594
Drama,594
Animation,137106
Family,137106
Adventure,137106
Comedy,137106
Fantasy,137106
Comedy,290250
Crime,290250
Action,290250
Thriller,27578
Adventure,27578
Action,27578
Drama,340666
Thriller,340666
Fantasy,268
Action,268
Crime,268
Drama,1366
Romance,1366
Action,2503
Drama,2503
Mystery,2503
Thriller,2503
Comedy,2105
Romance,2105
Animation,49013
Family,49013
Adventure,49013
Comedy,49013
Adventure,116745
Comedy,116745
Drama,116745
Fantasy,116745
Action,257344
Comedy,257344
Science Fiction,257344
Animation,57800
Comedy,57800
Adventure,57800
Family,57800
Adventure,44115
Drama,44115
Thriller,44115
Drama,1372
Thriller,1372
Action,1372
Adventure,339964
Science Fiction,339964
Action,339964
Action,2502
Drama,2502
Thriller,2502
Adventure,32657
Fantasy,32657
Family,32657
Animation,14836
Family,14836
Fantasy,14836
Action,312221
Drama,312221
Action,312221
Drama,312221
Crime,4638
Action,4638
Comedy,4638
Comedy,214756
Fantasy,214756
Science Fiction,1954
Thriller,1954
Fantasy,408
Animation,408
Family,408
Fantasy,59436
Comedy,59436
Romance,59436
Animation,11970
Family,11970
Fantasy,11970
Adventure,11970
Comedy,11970
Romance,11970
Drama,168672
Crime,168672
Horror,395992
Science Fiction,395992
Mystery,395992
Thriller,395992
Adventure,44912
Action,44912
Thriller,44912
Science Fiction,44912
Action,584
Crime,584
Thriller,584
Adventure,223702
Animation,223702
Comedy,223702
Fantasy,223702
Adventure,44826
Drama,44826
Family,44826
Romance,621
Comedy,621
Comedy,62213
Fantasy,62213
Comedy,10192
Adventure,10192
Fantasy,10192
Animation,10192
Family,10192
Comedy,7326
Drama,7326
Romance,7326
Drama,153
Romance,153
Drama,598
Crime,598
Adventure,587
Fantasy,587
Drama,587
Comedy,1824
Romance,1824
Action,13804
Crime,13804
Drama,13804
Thriller,13804
Drama,65
Music,65
Family,8871
Comedy,8871
Fantasy,8871
Drama,363676
History,363676
Animation,295693
Comedy,295693
Family,295693
Romance,150689
Fantasy,150689
Family,150689
Drama,150689
Drama,83542
Science Fiction,83542
Drama,376867
Comedy,8363
Animation,49519
Adventure,49519
Family,49519
Fantasy,49519
Comedy,49519
Action,49519
Drama,96721
Action,96721
Adventure,331
Action,331
Thriller,331
Science Fiction,331
Adventure,158852
Family,158852
Mystery,158852
Science Fiction,158852
Comedy,195589
Action,8909
Thriller,8909
Crime,8909
Action,324852
Animation,324852
Comedy,324852
Family,324852
Adventure,324852
Mystery,328387
Adventure,328387
Crime,328387
War,14574
Drama,14574
History,14574
Action,7191
Thriller,7191
Science Fiction,7191
Fantasy,561
Action,561
Horror,561
Comedy,9339
Drama,9339
Fantasy,9339
Comedy,773
Drama,773
Drama,9693
Action,9693
Thriller,9693
Science Fiction,9693
Crime,75780
Drama,75780
Thriller,75780
Action,75780
Comedy,37735
Adventure,1734
Action,1734
Fantasy,1734
Thriller,65754
Crime,65754
Mystery,65754
Drama,142
Romance,142
Action,109424
Drama,109424
Thriller,109424
Thriller,296098
Drama,296098
Adventure,18360
Fantasy,18360
Action,18360
Comedy,18360
Family,18360
Drama,310131
Fantasy,310131
Horror,310131
Mystery,310131
Fantasy,1487
Action,1487
Science Fiction,98566
Action,98566
Adventure,98566
Comedy,98566
Family,10527
Adventure,10527
Animation,10527
Comedy,10527
Animation,49444
Family,49444
Drama,11321
Science Fiction,76757
Fantasy,76757
Action,76757
Thriller,13448
Mystery,13448
Comedy,4247
Action,68735
Adventure,68735
Fantasy,68735
Comedy,10201
Romance,10201
Fantasy,60304
Horror,60304
Action,60304
Horror,49018
Thriller,49018
Drama,616
Action,616
War,616
Animation,38055
Action,38055
Comedy,38055
Family,38055
Science Fiction,38055
Action,76163
Adventure,76163
Thriller,76163
Family,37135
Adventure,37135
Animation,37135
Drama,37135
Horror,1091
Mystery,1091
Science Fiction,1091
Fantasy,68728
Adventure,68728
Family,68728
Family,81188
Animation,81188
Fantasy,81188
Action,81188
Adventure,81188
Action,188927
Adventure,188927
Science Fiction,188927
Action,9615
Crime,9615
Drama,9615
Thriller,9615
Action,117263
Thriller,117263
Comedy,114150
Music,114150
Romance,114150
Science Fiction,82700
Action,82700
Adventure,82700
Action,82675
Crime,82675
Thriller,82675
Comedy,257211
Drama,334543
Thriller,37686
Science Fiction,37686
Mystery,37686
Drama,2668
Fantasy,2668
Thriller,2668
Mystery,2668
Horror,2668
Animation,46195
Adventure,46195
Comedy,46195
Family,46195
Comedy,18240
Romance,18240
Drama,18240
Adventure,956
Action,956
Thriller,956
Crime,4232
Horror,4232
Mystery,4232
Fantasy,4011
Comedy,4011
Adventure,11688
Animation,11688
Comedy,11688
Family,11688
Fantasy,11688
Action,296
Thriller,296
Science Fiction,296
Romance,293863
Fantasy,293863
Drama,293863
Drama,3131
History,3131
Crime,3131
Comedy,100
Crime,100
Action,53182
Drama,53182
War,53182
Action,47964
Thriller,47964
Comedy,508
Romance,508
Drama,508
Horror,238636
Thriller,238636
Thriller,322
Crime,322
Drama,322
Mystery,322
Adventure,241259
Family,241259
Fantasy,241259
Comedy,11631
Romance,11631
Adventure,334533
Drama,334533
Action,534
Science Fiction,534
Thriller,534
Drama,7345
Action,364
Fantasy,364
Drama,2649
Thriller,2649
Mystery,2649
Animation,44896
Comedy,44896
Family,44896
Western,44896
Adventure,44896
War,676
History,676
Romance,676
Drama,676
Comedy,51540
Crime,51540
Animation,10555
Action,10555
Comedy,10555
Family,10555
Fantasy,258489
Action,258489
Adventure,258489
Adventure,2454
Family,2454
Fantasy,2454
Horror,1933
Mystery,1933
Thriller,1933
Mystery,207932
Thriller,207932
Action,207932
Horror,270303
Mystery,270303
Adventure,80278
Drama,80278
Thriller,80278
Drama,22881
Comedy,57214
Adventure,18823
Fantasy,18823
Action,18823
Action,341013
Thriller,341013
Adventure,2059
Action,2059
Thriller,2059
Mystery,2059
Drama,86834
Adventure,86834
Crime,184
Fantasy,927
Horror,927
Comedy,927
Drama,380
Horror,1576
Action,1576
Science Fiction,1576
Action,59859
Adventure,59859
Crime,59859
Thriller,782
Science Fiction,782
Mystery,782
Romance,782
Horror,82654
Comedy,82654
Romance,82654
Action,9737
Comedy,9737
Crime,9737
Thriller,9737
Horror,250546
Horror,250546
Action,335988
Adventure,335988
Science Fiction,335988
Horror,565
Mystery,565
Adventure,1995
Fantasy,1995
Action,1995
Thriller,1995
Fantasy,277
Action,277
Thriller,277
Animation,5255
Adventure,5255
Family,5255
Fantasy,5255
Horror,49017
Action,49017
Fantasy,49017
Action,1368
Adventure,1368
Thriller,1368
War,1368
Action,47933
Adventure,47933
Science Fiction,47933
Animation,11544
Family,11544
Thriller,1018
Drama,1018
Mystery,1018
Drama,39538
Thriller,39538
Science Fiction,39538
Animation,80321
Family,80321
Comedy,80321
Adventure,80321
Action,20504
Thriller,20504
Science Fiction,20504
Crime,302946
Thriller,302946
Drama,302946
Comedy,788
Drama,788
Family,788
Family,2300
Animation,2300
Comedy,2300
Science Fiction,2300
Drama,242224
Horror,242224
Action,1572
Thriller,1572
Action,1637
Adventure,1637
Crime,1637
Action,7446
Comedy,7446
Adventure,7446
War,7446
Animation,13053
Family,13053
Adventure,13053
Comedy,13053
Comedy,254320
Drama,254320
Romance,254320
Comedy,38365
Drama,87502
Romance,509
Comedy,509
Drama,345
Thriller,345
Mystery,345
Adventure,333484
Action,333484
Western,333484
Action,38575
Adventure,38575
Drama,38575
Family,38575
Action,57201
Adventure,57201
Western,57201
Science Fiction,31011
Drama,31011
Romance,31011
Fantasy,31011
Comedy,1597
Romance,1597
Drama,306819
Adventure,181533
Comedy,181533
Fantasy,181533
Family,181533
Science Fiction,299687
Adventure,299687
Action,299687
Thriller,1250
Action,1250
Fantasy,1250
Action,302699
Comedy,302699
Crime,302699
Mystery,302699
Horror,36647
Action,36647
Horror,36647
Action,36647
Animation,22794
Comedy,22794
Family,22794
Animation,10895
Family,10895
Comedy,83666
Drama,83666
Romance,83666
Thriller,346685
Mystery,346685
Drama,346685
Crime,346685
Horror,7131
Adventure,7131
Action,7131
Horror,755
Action,755
Thriller,755
Crime,755
Comedy,76493
Drama,334541
Science Fiction,1927
Adventure,1927
Action,1927
Action,228967
Comedy,228967
Comedy,8488
Drama,8488
Romance,8488
Action,1571
Thriller,1571
Action,324668
Thriller,324668
Mystery,324668
Drama,324668
Action,2034
Crime,2034
Drama,2034
Thriller,260346
Action,260346
Horror,628
Drama,628
Fantasy,628
Animation,159824
Comedy,159824
Family,159824
Fantasy,159824
Action,8247
Adventure,8247
Science Fiction,8247
Action,49040
Thriller,49040
Action,274857
Drama,274857
Fantasy,274857
Action,140300
Adventure,140300
Animation,140300
Comedy,140300
Family,140300
Crime,235
Drama,235
Comedy,3049
Adventure,3049
Adventure,10530
Animation,10530
Family,10530
Romance,10530
Adventure,39513
Comedy,39513
Science Fiction,39513
Crime,388
Drama,388
Thriller,388
Adventure,762
Comedy,762
Fantasy,762
Action,1573
Thriller,1573
Animation,260514
Adventure,260514
Comedy,260514
Family,260514
Action,861
Adventure,861
Science Fiction,861
Crime,524
Drama,524
Science Fiction,17431
Drama,17431
Animation,3170
Drama,3170
Family,3170
Action,49529
Adventure,49529
Science Fiction,49529
Science Fiction,72559
Adventure,72559
Action,72559
Thriller,72559
Action,855
History,855
War,855
Drama,12162
Thriller,12162
War,12162
Crime,117
Drama,117
History,117
Thriller,117
Action,307081
Drama,307081
Comedy,1584
Music,1584
Comedy,1624
Drama,2675
Thriller,2675
Science Fiction,2675
Mystery,2675
Adventure,105864
Animation,105864
Family,105864
Thriller,44833
Action,44833
Adventure,44833
Science Fiction,44833
Science Fiction,97020
Action,97020
Crime,97020
Thriller,97020
Drama,345920
Romance,345920
Action,9654
Crime,9654
Adventure,630
Fantasy,630
Family,630
Action,27576
Mystery,27576
Thriller,27576
Family,10386
Animation,10386
Science Fiction,10386
Drama,10386
Fantasy,251
Drama,251
Thriller,251
Mystery,251
Romance,251
Thriller,157353
Science Fiction,157353
Drama,157353
Mystery,157353
Action,37710
Thriller,37710
