company_name,movie_id
New Line Cinema,51540
DreamWorks Animation,10555
Village Roadshow Pictures,258489
Walt Disney Pictures,2454
Cruise/Wagner Productions,1933
Columbia Pictures,207932
Two Flints,270303
Summit Entertainment,80278
Warner Bros. Pictures,22881
Silver Pictures,57214
The Zanuck Company,18823
Focus Features,341013
Walt Disney Pictures,2059
Disruption Entertainment,86834
Miramax,184
Amblin Entertainment,927
United Artists,380
Impact Pictures,1576
Marv Films,59859
Jersey Films,782
Summit Entertainment,82654
Columbia Pictures,9737
Atomic Monster,250546
Atomic Monster,250546
Paramount,335988
BenderSpink,565
Paramount,1995
Screen Gems,277
Golden Mean,5255
Universal Pictures,49017
Carolco Pictures,1368
20th Century Fox,47933
Walt Disney Pictures,11544
Asymmetrical Productions,1018
Participant,39538
DreamWorks Animation,80321
Alcon Entertainment,20504
Zero Gravity Management,302946
20th Century Fox,788
Warner Bros. Pictures,2300
Screen Australia,242224
Cinergi Pictures Entertainment,1572
20th Century Fox,1637
Internationale Filmproduktion Stella-del-Sud Second,7446
Walt Disney Animation Studios,13053
Scarlet Films,254320
Columbia Pictures,38365
Paramount,87502
Notting Hill Pictures,509
Stanley Kubrick Productions,345
Escape Artists,333484
Jerry Weintraub Productions,38575
Walt Disney Pictures,57201
Pan Européenne Production,31011
Tribeca Productions,1597
Pretty Pictures,306819
Moving Picture Company,181533
LStar Capital,299687
Crystal Sky Pictures,1250
Warner Bros. Pictures,302699
New Line Cinema,36647
New Line Cinema,36647
Sony Pictures Animation,22794
Walt Disney Productions,10895
Focus Features,83666
Reliance Entertainment,346685
Universal Pictures,7131
Los Hooligans Productions,755
Four By Two Productions,76493
Pearl Street Films,334541
Marvel Enterprises,1927
Point Grey Pictures,228967
Columbia Pictures,8488
Dune Entertainment,1571
The Kennedy/Marshall Company,324668
WV Films II,2034
EuropaCorp,260346
Geffen Pictures,628
Columbia Pictures,159824
Dune Entertainment,8247
Universal Pictures,49040
Village Roadshow Pictures,274857
Pearl Studio,140300
Columbia Pictures,235
Morgan Creek,3049
Walt Disney Pictures,10530
Universal Pictures,39513
40 Acres and a Mule Filmworks,388
Python (Monty) Pictures Limited,762
Gordon Company,1573
Pixar,260514
Carolco Pictures,861
Universal Pictures,524
Lunar Industries,17431
Walt Disney Productions,3170
Walt Disney Pictures,49529
Paramount,72559
Jerry Bruckheimer Films,855
Film Capital Europe Funds (FCEF ),12162
Paramount,117
Fuqua Films,307081
Paramount,1584
Universal Pictures,1624
Touchstone Pictures,2675
Pixar,105864
Universal Pictures,44833
Columbia Pictures,97020
Village Roadshow Pictures,345920
De Line Pictures,9654
Metro-Goldwyn-Mayer,630
Wintergreen Productions,27576
Warner Bros. Pictures,10386
Paramount,251
DMG Entertainment,157353
Columbia Pictures,37710
Walt Disney Pictures,4523
Brownstone Productions,254470
ICF,4553
Hard Eight Pictures,9532
Paramount,1538
Walt Disney Pictures,10198
Icon Entertainment International,1579
Legendary Pictures,41733
Paramount,17578
Tim Burton Productions,75
Automatik Entertainment,82507
Imagine Entertainment,568
Walt Disney Feature Animation,10009
Walt Disney Productions,10693
Compass International Pictures,948
TF1,225574
Grade A Entertainment,400928
DreamWorks Pictures,1635
Universal Pictures,82695
Fox Animation Studios,9444
Film Rites,4982
Amblin Entertainment,879
Warner Bros. Pictures,289
Don Simpson/Jerry Bruckheimer Films,8961
Why Not Productions,316727
Miramax,2567
Summit Entertainment,13811
TF1 Films Production,4108
Dune Entertainment,76726
Paramount,44264
Warner Bros. Pictures,21208
Fox 2000 Pictures,286565
Walt Disney Productions,10340
The Ladd Company,311
Fox 2000 Pictures,76285
Detour Filmproduction,85350
Krane Entertainment,754
Regency Enterprises,10315
Got Films,215
Columbia Pictures,332567
Knightsbridge Entertainment,107846
New Line Cinema,16996
Universal Pictures,11253
DC Comics,414
Kennedy Miller Productions,9836
Legendary East,311324
Savvy Media Holdings,395834
