franchise_id,franchise_name,franchise_url,total_gross,num_movies,average_gross,highest_grossing_movie,Franchise,No. of Movies,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,First Year,Last Year,No. of Years
407,Unbroken,https://www.the-numbers.com/movies/franchise/Unbroken,2,"$121,854,792","$157,764,320","$169,744,721",Unbroken,2,"$121,854,792","$157,764,320","$169,744,721",2014,2018,4
408,Goosebumps,https://www.the-numbers.com/movies/franchise/Goosebumps,2,"$126,766,779","$157,617,290","$251,958,672",Goosebumps,2,"$126,766,779","$157,617,290","$251,958,672",2015,2018,3
410,Deep Blue Sea,https://www.the-numbers.com/movies/franchise/Deep-Blue-Sea,3,"$73,648,228","$156,285,012","$165,048,228",Deep Blue Sea,3,"$73,648,228","$156,285,012","$165,048,228",1999,2020,21
411,Dolphin Tale,https://www.the-numbers.com/movies/franchise/Dolphin-Tale,2,"$114,311,312","$153,714,618","$153,893,257",Dolphin Tale,2,"$114,311,312","$153,714,618","$153,893,257",2011,2014,3
412,Brother Bear,https://www.the-numbers.com/movies/franchise/Brother-Bear,2,"$85,336,277","$152,452,388","$250,397,798",Brother Bear,2,"$85,336,277","$152,452,388","$250,397,798",2003,2006,3
413,Mean Girls,https://www.the-numbers.com/movies/franchise/Mean-Girls,2,"$86,047,227","$149,370,224","$130,462,048",Mean Girls,2,"$86,047,227","$149,370,224","$130,462,048",2004,2011,7
414,Jingle All the Way,https://www.the-numbers.com/movies/franchise/Jingle-All-the-Way,2,"$60,592,389","$147,474,410","$129,832,389",Jingle All the Way,2,"$60,592,389","$147,474,410","$129,832,389",1996,2014,18
415,Hollow Man,https://www.the-numbers.com/movies/franchise/Hollow-Man,2,"$73,209,340","$146,418,671","$191,200,000",Hollow Man,2,"$73,209,340","$146,418,671","$191,200,000",2000,2006,6
416,Inside Man,https://www.the-numbers.com/movies/franchise/Inside-Man,1,"$88,634,237","$145,874,356","$185,798,265",Inside Man,1,"$88,634,237","$145,874,356","$185,798,265",2006,2006,
417,Paddington,https://www.the-numbers.com/movies/franchise/Paddington,3,"$117,115,169","$145,859,771","$515,233,378",Paddington,3,"$117,115,169","$145,859,771","$494,968,883",2014,2024,10
